"","eqlist.(inv5/AssetTot)","eqlist.capu1","eqlist.(profit1/AssetTot)","eqlist.(FinInv/AssetTot)","eqlist.dbtnw","difeqlist.(inv5/AssetTot)","difeqlist.capu1","difeqlist.(profit1/AssetTot)","difeqlist.(FinInv/AssetTot)","difeqlist.dbtnw","lageqlist.(inv5/AssetTot)","lageqlist.capu1","lageqlist.(profit1/AssetTot)","lageqlist.(FinInv/AssetTot)","lageqlist.dbtnw","ld1eqlist.(inv5/AssetTot)","ld1eqlist.capu1","ld1eqlist.(profit1/AssetTot)","ld1eqlist.(FinInv/AssetTot)","ld1eqlist.dbtnw","ld2eqlist.(inv5/AssetTot)","ld2eqlist.capu1","ld2eqlist.(profit1/AssetTot)","ld2eqlist.(FinInv/AssetTot)","ld2eqlist.dbtnw"
"61",0.157414148047499,80.6226,0.0225093374866877,0.0376448867584466,46.2,-0.000224834578467975,-0.221299999999999,-0.00134231944698003,0.000659243735278738,0.5,0.157638982625967,80.8439,0.0238516569336678,0.0369856430231678,45.7,-0.00344295939637856,0.188500000000005,-0.00257195304106967,0.00254689733034874,-1.09999999999999,0.00214691877097375,-0.923100000000005,0.000492272367667065,0.000782553392018749,0.0999999999999943
"62",0.15263724795321,80.413,0.022965348275227,0.0373042504032191,46.8,-0.00477690009428874,-0.209600000000009,0.000456010788539265,-0.000340636355227526,0.599999999999994,0.157414148047499,80.6226,0.0225093374866877,0.0376448867584466,46.2,-0.000224834578467975,-0.221299999999999,-0.00134231944698003,0.000659243735278738,0.5,-0.00344295939637856,0.188500000000005,-0.00257195304106967,0.00254689733034874,-1.09999999999999
"63",0.153259113682893,80.0283,0.0216071570120076,0.0392610652970745,47.8,0.000621865729682924,-0.384699999999995,-0.00135819126321939,0.00195681489385543,1,0.15263724795321,80.413,0.022965348275227,0.0373042504032191,46.8,-0.00477690009428874,-0.209600000000009,0.000456010788539265,-0.000340636355227526,0.599999999999994,-0.000224834578467975,-0.221299999999999,-0.00134231944698003,0.000659243735278738,0.5
"64",0.152114053253756,80.6637,0.0207356374248275,0.0412769647296493,46.1,-0.0011450604291372,0.635400000000004,-0.000871519587180073,0.00201589943257484,-1.7,0.153259113682893,80.0283,0.0216071570120076,0.0392610652970745,47.8,0.000621865729682924,-0.384699999999995,-0.00135819126321939,0.00195681489385543,1,-0.00477690009428874,-0.209600000000009,0.000456010788539265,-0.000340636355227526,0.599999999999994
"65",0.14659633528385,80.5366,0.0193385671774919,0.0423199360250978,47.1,-0.00551771796990538,-0.127099999999999,-0.00139707024733564,0.00104297129544852,1,0.152114053253756,80.6637,0.0207356374248275,0.0412769647296493,46.1,-0.0011450604291372,0.635400000000004,-0.000871519587180073,0.00201589943257484,-1.7,0.000621865729682924,-0.384699999999995,-0.00135819126321939,0.00195681489385543,1
"66",0.151213512606635,80.5269,0.0185797093856534,0.0416628309764108,48.2,0.0046171773227851,-0.00970000000000937,-0.000758857791838513,-0.000657105048687039,1.1,0.14659633528385,80.5366,0.0193385671774919,0.0423199360250978,47.1,-0.00551771796990538,-0.127099999999999,-0.00139707024733564,0.00104297129544852,1,-0.0011450604291372,0.635400000000004,-0.000871519587180073,0.00201589943257484,-1.7
"67",0.144910693587213,79.4951,0.0171779185664972,0.040707127383527,45.8,-0.00630281901942226,-1.0318,-0.00140179081915615,-0.000955703592883821,-2.40000000000001,0.151213512606635,80.5269,0.0185797093856534,0.0416628309764108,48.2,0.0046171773227851,-0.00970000000000937,-0.000758857791838513,-0.000657105048687039,1.1,-0.00551771796990538,-0.127099999999999,-0.00139707024733564,0.00104297129544852,1
"68",0.138189860500693,78.1248,0.0138732098223479,0.0405446143391882,43.2,-0.00672083308651997,-1.3703,-0.00330470874414933,-0.000162513044338834,-2.59999999999999,0.144910693587213,79.4951,0.0171779185664972,0.040707127383527,45.8,-0.00630281901942226,-1.0318,-0.00140179081915615,-0.000955703592883821,-2.40000000000001,0.0046171773227851,-0.00970000000000937,-0.000758857791838513,-0.000657105048687039,1.1
"69",0.130943015465291,76.1213,0.0148057914480511,0.0397173377307603,44,-0.00724684503540216,-2.00349999999999,0.00093258162570317,-0.00082727660842781,0.799999999999997,0.138189860500693,78.1248,0.0138732098223479,0.0405446143391882,43.2,-0.00672083308651997,-1.3703,-0.00330470874414933,-0.000162513044338834,-2.59999999999999,-0.00630281901942226,-1.0318,-0.00140179081915615,-0.000955703592883821,-2.40000000000001
"70",0.129216518105407,74.426,0.0145496970893796,0.0412119602595793,44.4,-0.00172649735988392,-1.6953,-0.000256094358671466,0.00149462252881895,0.399999999999999,0.130943015465291,76.1213,0.0148057914480511,0.0397173377307603,44,-0.00724684503540216,-2.00349999999999,0.00093258162570317,-0.00082727660842781,0.799999999999997,-0.00672083308651997,-1.3703,-0.00330470874414933,-0.000162513044338834,-2.59999999999999
"71",0.12681690476258,72.7839,0.0120886005970589,0.0412578495105307,44.4,-0.00239961334282723,-1.6421,-0.0024610964923207,4.58892509514475e-05,0,0.129216518105407,74.426,0.0145496970893796,0.0412119602595793,44.4,-0.00172649735988392,-1.6953,-0.000256094358671466,0.00149462252881895,0.399999999999999,-0.00724684503540216,-2.00349999999999,0.00093258162570317,-0.00082727660842781,0.799999999999997
"72",0.119908240795186,71.7049,0.00721625596961956,0.0435712461515651,44.9,-0.00690866396739344,-1.07900000000001,-0.00487234462743937,0.0023133966410343,0.5,0.12681690476258,72.7839,0.0120886005970589,0.0412578495105307,44.4,-0.00239961334282723,-1.6421,-0.0024610964923207,4.58892509514475e-05,0,-0.00172649735988392,-1.6953,-0.000256094358671466,0.00149462252881895,0.399999999999999
"73",0.123524912464868,72.1163,0.0104077645512437,0.0440368443837325,44.8,0.00361667166968188,0.4114,0.0031915085816241,0.000465598232167436,-0.100000000000001,0.119908240795186,71.7049,0.00721625596961956,0.0435712461515651,44.9,-0.00690866396739344,-1.07900000000001,-0.00487234462743937,0.0023133966410343,0.5,-0.00239961334282723,-1.6421,-0.0024610964923207,4.58892509514475e-05,0
