starting from 1951:4  to  2015:1

FININDEED
19.582
18.773
17.233
17.703
18.543
19.133
17.453
19.343
20.363
18.973
15.923
17.523
18.653
18.913
18.184
20.204
22.936
20.803
17.5
17.389
18.617
18.312
16.437
17.161
18.037
16.511
14.691
15.922
18.843
20.125
21.198
23.972
24.797
23.824
21.984
20.456
19.475
19.218
18.947
18.053
18.076
19.189
17.789
17.035
17.344
21.789
21.693
21.868
21.558
22.546
22.426
21.064
20.923
21.742
20.256
19.921
20.199
20.104
18.628
18.318
18.073
16.721
14.086
13.251
15.438
18.735
17.453
16.292
17.919
19.874
17.638
15.909
15.609
15.294
14.405
12.954
12.78
14.101
14.742
15.656
19.187
19.589
18.975
18.612
22.327
26.499
26.631
27.118
30.186
31.652
30.293
29.82
29.318
29.616
31.386
31.139
37.248
44.177
43.512
42.863
47.1
49.146
46.253
47.648
48.653
49.305
50.655
49.406
55.501
63.183
66.835
62.286
64.861
68.825
66.235
71.995
79.33
76.373
84.393
92.142
103.845
97.417
95.55
97.038
109.239
116.683
121.122
116.478
128.723
144.37
149.91
142.092
152.058
146.654
166.32
157.445
172.95
161.565
180.991
179.983
183.892
179.393
163.338
158.977
155.182
157.784
158.348
157.7
154.922
169.826
171.783
174.825
190.968
182.809
185.563
180.061
178.486
180.113
183.345
205.786
221.39
220.128
250.011
250.668
274.55
259.227
263.339
283.807
281.556
292.21
291.562
290.861
297.378
287.047
337.455
310.943
336.901
342.6
368.996
376.264
394.085
412.043
411.292
420.499
397.061
414.302
426.359
441.96
498.69
522.796
534.743
574.548
626.451
660.45
668.006
672.531
702.864
693.172
726.252
727.642
772.855
785.302
780.374
774.111
805.76
809.214
834.438
844.016
863.859
859.709
860.673
852.212
887.084
987.473
1007.86
1033.496
1108.019
1114.743
1143.115
1172.8
1233.19
1159.683
1192.848
1270.045
1306.62
1347.793
1331.725
1313.549
1370.928
1382.339
1387.02
1366.292
1366.274
1319.538
1259.602
1269.584
1242.902
1235.213
1213.768
1170.51
1187.132
1231.761
1211.374
1233.572
1264.174
1281.53
1301.014
1348.603
1396.197
1371.778
1393.821
1412.875
1458.987
1432.233
